"scientific_name","taxocode","a3_code","isscaap","english_name"
"Aplocheilus panchax","1570800402","AXD",13,"Blue panchax"
"Austrofundulus dolichopterus","1570800501","ADP",13,"Saberfin killie"
"Cynolebias bellottii","1570800601","CBY",13,"Argentine pearlfish"
"Diapteron cyanostictum","1570800701","DCY",13,"Gabon jewelfish"
"Epiplatys azureus","1570800801","EYA",13,""
"Foerschichthys flavipinnis","1570800901","FOF",13,""
"Fundulosoma thierryi","1570801001","FUY",13,""
"Leptolebias minimus","1570801101","LLN",13,"Barredtail pearlfish"
"Nothobranchius cyaneus","1570801201","NBY",13,""
"Pachypanchax omalonotus","1570801301","PXO",13,""
"Pronothobranchius kiyawensis","1570801401","PKY",13,""
"Pterolebias hoignei","1570801501","PBG",13,""
"Rivulus cylindraceus","1570801601","RVY",13,"Green rivulus"
"Spectrolebias semiocellatus","1570801701","SMO",13,""
"Profundulus hildebrandi","1570900101","PFH",13,"Chiapas killifish"
"Adinia xenica","1571000101","ADX",13,"Diamond killifish"
"Fundulus bifax","1571000201","FUX",13,"Stippled studfish"
"Leptolucania ommata","1571000301","LUO",13,"Pygmy killifish"
"Lucania goodei","1571000401","LUI",13,"Bluefin killifish"
"Valencia letourneuxi","1571100101","VLX",13,"Corfu toothcarp"
"Valencia hispanica","1571100102","VHS",13,"Valencia toothcarp"
"Genypterus blacodes","1580200101","CUS",34,"Pink cusk-eel"
"Genypterus chilensis","1580200102","CUC",34,"Red cusk-eel"
"Genypterus maculatus","1580200103","CUB",34,"Black cusk-eel"
"Genypterus capensis","1580200105","KCP",34,"Kingklip"
"Genypterus tigerinus","1580200106","GVT",34,"Rock ling"
"Genypterus spp","15802001XX","CEX",34,"Cusk-eels nei"
"Parophidion schmidti","1580200201","OPK",34,"Dusky cusk-eel"
"Ophidion barbatum","1580200301","OOA",34,"Snake blenny"
"Ophidion holbrooki","1580200302","OVK",34,"Band cusk-eel"
"Brotula clarki","1580200501","OBK",34,""
"Brotula barbata","1580200502","BRD",34,"Bearded brotula"
"Brotula multibarbata","1580200503","WBM",34,"Goatsbeard brotula"
"Brotulotaenia brevicauda","1580200601","OBV",34,""
"Hoplobrotula gnathopus","1580200701","OHG",34,"False kinglip"
"Lepophidium aporrhox","1580201201","OLA",34,""
"Lepophidium brevibarbe","1580201202","LPW",34,"Shortbeard cusk-eel"
